rx_0_G.A,rx_1_.A.,rx_2_GA.,rx_3_GA.,rx_4_CT.,rx_5_C.T,rx_6_CG.,rx_7_..A,rx_8_GAG,rx_9_.A.,rx_10_C.A,rx_11_.G.,rx_12_..G,rx_13_A..,rx_14_.TA,rx_15_T..,rx_16_..G,rx_17_.CG,rx_18_..A,rx_19_A.T,label
0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1
0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,1
0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1
0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1
0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1
0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1
